Property_Age,Distance_to_Tech_Hub,Sale_Price
97.5,5.5,1005650.78
75.1,38.1,773760.8
56.6,63.0,611799.36
67.5,50.8,676086.85
37.0,85.8,440432.79
66.5,66.2,564134.07
99.1,17.1,888392.73
100.4,8.0,921206.41
61.5,64.6,537257.23
118.6,3.6,937812.2
44.6,59.0,700763.91
31.3,94.1,335174.39
64.8,58.0,547849.48
71.5,39.4,748083.0
65.5,64.7,553471.06
66.8,46.4,702459.15
61.7,55.0,646147.01
23.5,94.2,390462.25
74.9,39.2,796093.16
12.5,96.2,341710.57
14.0,90.6,413756.91
107.6,20.4,817603.11
94.5,7.9,882437.71
90.2,11.0,924736.13
85.9,2.8,1072142.05
94.3,10.3,929445.61
35.0,68.6,590260.27
119.2,8.0,846857.51
90.8,32.6,733161.96
26.9,84.6,453970.69
129.6,3.3,901758.37
46.3,81.6,505509.69
80.7,28.9,829601.81
73.6,12.7,906800.22
69.9,70.0,510184.07
39.2,63.3,635475.2
14.5,87.9,513721.61
53.8,73.8,565383.61
61.9,80.5,391224.59
97.8,28.9,740567.42
98.9,18.6,803306.31
48.2,75.3,491816.78
45.7,80.9,480150.86
28.4,99.1,390142.75
75.1,41.8,711873.4
77.0,37.8,730577.38
39.3,77.9,504559.91
71.2,34.7,746288.36
23.4,93.1,491696.2
15.7,86.0,416458.95
69.9,43.5,719839.88
32.3,75.3,613631.41
30.8,75.7,533005.36
101.7,11.2,899303.12
42.6,90.4,377675.16
73.3,51.0,638094.09
19.8,82.8,552844.36
70.7,32.7,708671.64
38.7,89.7,466649.77
64.6,39.5,697599.47
105.9,2.1,960974.42
33.9,90.6,389905.72
91.3,10.0,960677.26
81.7,32.6,711772.81
11.1,95.1,435819.38
18.4,95.1,483317.07
61.2,57.8,560901.23
36.9,63.6,625426.44
73.5,45.4,663255.36
82.8,30.0,811255.47
85.3,33.5,761781.81
51.4,67.6,530870.41
55.7,75.5,504224.6
39.8,79.4,557598.22
34.5,79.2,490084.34
102.2,10.0,944162.06
70.5,49.9,607727.94
104.5,6.7,899235.78
60.5,55.4,654583.59
62.7,44.7,776193.05
23.4,88.9,456409.72
63.8,35.7,773938.15
116.2,12.6,866924.39
83.9,15.2,860892.66
34.3,76.4,544423.49
46.8,62.2,643999.22
109.0,11.0,875748.8
98.7,9.3,909272.55
59.1,70.4,529225.43
95.9,8.2,925139.09
38.7,82.4,461117.11
37.8,70.9,641004.33
123.3,9.1,871084.11
89.7,9.4,931144.97
24.3,98.7,336102.54
82.1,38.1,761164.73
80.2,37.7,730774.9
34.8,81.5,452634.46
23.4,94.8,447827.4
21.7,98.6,424500.44
40.5,75.6,490299.57
85.2,38.2,648912.69
123.8,9.3,918637.35
34.3,77.9,480551.87
45.6,56.3,690072.56
70.4,43.0,636374.02
54.1,90.7,401589.39
91.2,12.0,873173.6
81.6,49.8,667874.94
124.9,2.1,933848.04
61.8,47.4,659050.29
109.8,6.6,911579.94
114.8,12.8,895754.37
94.8,12.6,913480.72
49.2,65.3,602762.84
36.8,74.9,606568.89
47.0,58.8,573453.72
16.9,96.3,460892.54
63.5,38.1,772357.48
84.0,29.3,761796.89
24.0,87.0,402840.77
91.5,23.1,824316.34
7.7,96.4,450557.92
111.3,2.2,954620.01
31.0,97.0,422263.99
85.3,5.3,929136.13
33.4,89.2,418851.67
74.4,53.2,575247.94
8.5,99.3,403056.3
119.3,8.3,930527.72
63.9,55.8,608633.39
15.7,97.0,288773.79
61.9,52.8,661795.85
58.6,63.3,593778.12
47.9,69.9,561401.14
74.0,46.0,733458.86
44.0,63.1,564176.18
58.7,58.8,638969.3
14.7,90.2,496643.8
103.9,5.5,876986.03
75.0,28.8,832209.02
17.1,95.1,384980.84
42.1,89.1,399373.32
79.4,46.1,686198.74
59.9,62.4,561490.71
73.5,28.5,798361.36
89.2,19.6,866025.5
79.9,46.9,621430.13
79.0,36.0,710645.06
80.3,58.8,596340.22
106.1,8.7,872268.36
24.2,97.5,398527.98
18.1,98.6,393149.83
48.2,70.1,473565.25
59.8,54.1,620690.86
88.6,31.6,817414.15
46.2,81.6,415911.95
40.2,68.8,550655.63
81.3,17.1,919092.82
9.6,91.2,482732.62
40.9,82.4,448705.26
13.4,95.0,388979.74
22.9,72.8,628305.97
58.3,61.7,659070.17
96.8,42.4,706376.76
25.9,93.3,404825.4
40.3,86.7,393109.54
105.9,5.5,911190.42
105.8,3.6,980494.31
84.7,38.3,741081.18
34.0,81.2,538151.8
23.8,98.7,388480.07
98.9,15.9,814916.94
49.5,59.8,664562.28
85.1,38.7,680245.92
20.9,97.0,366606.89
26.5,84.4,482030.32
39.8,84.0,528330.34
58.4,47.4,828482.24
72.4,42.1,742889.09
84.6,28.1,798837.25
114.9,6.6,938859.03
36.8,86.6,469045.66
36.4,81.5,462515.19
28.2,100.0,415626.42
34.2,99.7,343462.99
65.2,56.0,641629.54
40.7,77.1,528225.44
11.8,94.5,437002.98
22.7,85.1,507146.32
84.0,25.5,803392.1
62.9,45.6,687114.18
95.7,13.8,854255.21
24.7,95.5,404650.53
60.4,61.0,622293.61
88.0,23.6,853179.94
54.1,67.5,618759.78
54.7,62.2,592879.56
57.4,36.5,820218.72
89.6,12.2,879217.02
47.8,67.5,548986.14
50.6,52.5,706450.54
46.3,77.5,521716.48
78.1,52.5,612149.95
45.4,85.4,423491.79
57.8,55.6,578593.49
74.0,56.5,585400.58
32.5,87.8,468352.0
69.8,40.9,755892.14
91.0,14.3,923836.13
103.5,3.8,964173.53
37.9,75.8,518342.82
55.5,62.4,563232.83
48.0,70.7,566377.5
90.2,22.1,859860.6
101.3,14.5,901037.18
119.7,2.4,920018.17
87.4,35.7,653484.56
41.7,59.4,685292.59
48.6,39.8,764965.53
79.5,44.3,652080.46
14.9,90.5,473904.12
75.8,35.5,748855.6
51.6,51.9,724112.97
21.3,78.6,553513.63
79.2,40.3,746915.56
61.3,62.6,522141.85
26.5,86.4,504489.12
0.0,95.0,450429.69
90.5,15.6,879680.1
30.5,92.7,402959.97
50.5,49.7,630267.84
87.9,26.6,827968.51
68.0,46.5,651113.81
27.6,98.0,306563.36
66.4,49.8,608145.04
70.1,33.5,835981.18
64.6,63.7,535916.59
86.1,24.8,890918.32
102.1,8.5,906349.12
88.3,13.8,845064.67
93.3,13.7,859410.13
86.7,16.0,947690.65
95.0,14.7,885810.88
69.1,64.4,524265.42
79.2,19.0,896000.76
62.2,35.2,813971.96
43.9,89.8,438623.82
64.8,47.9,745008.79
42.9,67.1,563043.77
104.1,18.1,794190.06
85.9,20.0,851346.7
123.7,5.0,922605.87
100.8,17.7,817998.78
79.4,28.6,774273.44
114.9,18.5,835756.32
95.1,9.8,929522.59
105.8,12.9,886223.67
71.0,46.6,654648.33
103.7,21.4,811901.51
92.3,37.1,682011.61
64.6,50.8,699770.33
40.1,69.3,606513.98
110.2,4.9,866623.25
31.1,80.1,459495.77
73.3,63.2,488265.83
103.2,9.1,894884.64
27.6,87.5,441566.35
28.9,92.2,346889.11
90.2,7.0,926378.48
74.7,28.4,783126.49
49.3,80.8,463236.07
35.9,75.1,530429.86
82.2,19.3,852609.72
95.8,21.7,841641.17
87.9,37.7,700822.94
73.1,49.0,651154.52
64.0,62.2,641332.35
68.7,37.5,816115.15
53.7,46.8,666349.16
57.5,75.0,518164.96
102.6,4.6,990193.31
84.1,26.0,777940.33
58.8,71.6,542133.25
34.9,89.6,474714.72
68.1,51.7,605712.84
83.3,53.7,567188.58
93.1,11.6,961594.64
78.5,45.3,691481.3
62.2,53.7,667798.31
90.2,25.0,833223.33
100.4,27.7,793596.97
80.6,38.4,679007.38
112.7,3.0,992607.09
91.1,32.9,801441.26
86.6,21.9,842136.64
71.5,33.4,787827.24
88.0,12.9,859941.89
10.1,89.2,487091.68
76.8,59.8,591211.11
37.6,68.2,576543.52
36.6,79.1,538805.9
61.9,50.3,660029.36
104.4,9.6,936884.43
69.4,54.2,587022.69
65.4,59.1,595445.37
36.9,74.8,520936.63
69.0,43.7,721202.12
100.6,13.6,875058.53
81.3,29.1,799333.27
92.8,36.9,751835.06
56.5,64.9,550045.93
65.6,57.5,544495.64
84.0,36.3,811953.56
32.9,98.7,400065.63
56.9,61.0,546664.48
75.0,24.5,881715.15
104.0,11.1,883213.17
89.0,16.1,903541.69
81.9,25.3,845172.45
100.6,16.9,854070.18
104.9,19.5,803168.87
83.9,29.2,770761.51
96.7,18.2,824558.95
46.2,89.8,356048.2
104.4,8.9,917050.33
88.4,52.9,571190.85
78.2,41.6,737870.32
4.0,98.3,465521.11
106.7,12.1,866761.56
77.5,40.4,731549.25
35.6,97.0,372931.4
38.7,86.7,447968.19
34.9,81.9,478088.49
73.9,26.5,869692.51
91.8,17.9,892379.62
41.0,67.2,530890.7
20.5,93.0,449725.73
65.4,56.1,655779.0
74.9,57.6,559014.6
88.1,28.7,795572.92
28.6,77.2,552736.06
96.9,19.5,841727.94
92.2,33.0,794112.18
65.1,43.1,819417.67
62.5,51.3,633469.65
87.6,25.0,769473.36
91.0,12.4,931163.87
61.2,61.5,614898.31
82.2,29.6,789822.87
61.5,58.5,666775.76
86.5,16.3,843257.78
61.9,48.6,714942.12
68.9,53.7,608214.55
100.8,6.1,1018222.49
96.4,34.3,812353.63
93.1,14.3,868622.73
105.7,7.3,908424.46
30.2,99.0,381894.11
66.2,32.9,788821.3
19.3,81.2,510098.79
71.2,26.2,849030.23
61.0,68.5,453455.02
35.8,76.3,517655.79
81.6,60.0,529443.84
61.4,47.7,675906.57
74.3,41.8,775066.3
93.4,35.5,678562.18
46.3,93.0,395661.36
55.7,83.2,411577.22
35.2,96.5,346108.75
108.3,13.3,908639.99
49.9,73.4,526945.06
33.3,93.9,405103.93
87.4,18.9,912310.24
95.0,7.6,936096.23
43.0,74.4,494478.17
56.2,57.9,581186.07
29.6,84.3,433133.64
103.6,14.8,992043.74
47.8,79.7,516346.0
92.0,21.0,794230.04
109.3,17.2,790899.06
83.0,17.3,915082.08
34.6,81.6,499577.82
42.7,66.9,601793.75
43.8,52.8,679874.94
76.3,36.5,750185.29
29.7,87.8,450924.44
89.3,39.9,706083.92
42.6,81.8,371183.02
59.7,44.5,715550.74
94.1,38.3,671293.4
80.1,46.8,672394.93
88.1,30.8,896582.67
40.2,75.0,534146.31
54.7,50.8,671877.82
84.7,24.0,875584.04
39.8,90.1,419173.67
93.7,39.0,717279.62
76.1,54.8,633576.41
23.4,90.7,509446.15
42.3,62.8,567799.53
100.1,12.6,918175.54
7.7,94.0,395244.58
56.4,63.1,604269.95
77.8,34.2,734439.52
92.0,14.8,880940.86
22.4,79.6,506517.8
59.0,62.4,621960.01
56.2,53.8,693753.78
17.8,89.5,398698.37
10.1,79.1,549401.64
95.3,16.0,852869.06
99.0,31.9,696679.77
103.6,25.6,779371.5
38.2,74.7,513968.38
100.1,4.3,1062330.69
63.0,57.4,631944.62
31.2,76.5,470665.87
34.0,87.8,407014.45
86.3,34.9,789363.95
48.2,82.3,528711.31
98.2,12.0,844457.99
31.6,84.8,383124.08
89.0,13.6,987945.72
65.4,40.3,762067.24
35.8,79.9,454217.97
99.4,15.8,895818.54
97.8,23.7,709383.89
36.7,72.5,546679.97
59.9,72.3,515100.65
49.3,64.5,622656.86
47.1,69.7,507725.95
53.3,54.7,659047.46
62.4,25.9,830713.56
87.1,35.2,754146.24
100.3,19.0,811784.59
25.3,90.9,405495.56
57.8,58.8,574541.69
78.5,40.7,743484.07
52.3,46.7,755809.8
19.4,94.8,393553.72
103.4,16.2,865317.13
44.3,59.0,581114.26
67.0,51.1,645427.3
41.1,61.5,623612.84
112.2,2.8,1058187.09
31.0,87.3,394724.49
9.9,93.3,492535.52
70.4,56.9,643500.82
39.7,70.0,572113.01
18.8,92.3,494119.75
48.1,71.0,550569.76
107.0,16.1,872765.16
47.6,58.1,638265.81
55.7,61.1,649107.46
75.6,43.0,748751.03
50.4,73.9,482881.32
27.6,93.5,343986.81
23.0,92.6,404907.38
60.7,45.6,681625.06
99.9,12.2,900030.63
10.6,98.5,440244.78
5.1,84.1,499019.3
102.4,13.3,886837.91
36.1,92.2,392829.47
8.0,87.1,521053.5
52.8,52.4,585656.24
62.6,59.5,574224.04
94.1,40.5,696193.58
104.4,6.4,987774.59
72.0,34.2,762939.89
35.7,80.5,409604.37
122.4,1.5,968247.79
72.9,34.0,756603.0
65.6,40.4,697801.23
56.4,54.2,628627.63
17.6,92.1,420878.18
79.5,35.3,734569.64
94.4,35.3,640123.91
46.6,74.0,550542.8
66.3,45.8,752270.7
86.2,23.2,867834.66
53.2,45.8,681849.01
105.4,14.9,861620.1
92.6,18.5,866829.56
62.9,50.3,695463.23
103.7,42.5,679535.03
30.6,91.6,376925.58
69.3,36.9,769678.27
53.1,58.5,644253.24
64.2,63.6,620980.16
109.1,2.3,991677.48
35.6,66.7,626848.59
102.4,18.6,849490.01
16.8,96.1,453676.29
114.6,15.7,861475.37
83.0,42.0,663259.24
97.0,9.4,986493.61
33.1,99.7,364214.39
65.0,50.7,646473.83
64.6,59.9,572117.48
108.0,7.6,934796.82
33.8,75.2,548928.79
84.0,21.8,865722.63
39.4,89.9,414427.41
87.5,21.3,922579.09
88.1,19.9,907690.57
96.3,4.6,978093.69
71.3,47.7,713225.75
79.4,56.9,544549.06
92.6,7.5,970735.78
40.2,77.8,569669.01
82.8,45.9,658605.07
61.6,52.9,619616.72
74.4,44.6,668128.83
62.8,40.7,705474.18
63.5,56.4,590336.15
93.4,16.4,867436.1
102.7,19.0,786195.23
44.2,86.3,421713.0
50.7,94.7,377374.14
81.6,38.0,696759.83
88.2,27.8,861872.35
53.7,64.8,595057.08
69.2,41.5,771205.52
110.2,3.5,925134.8
92.2,16.5,918042.57
47.0,71.9,487289.67
63.6,66.2,578610.43
96.6,3.7,984172.9
100.7,23.0,836885.96
101.7,23.9,758600.2
48.1,67.5,527950.81
86.1,3.0,1028027.9
93.7,11.3,884120.67
50.8,80.2,475399.87
93.0,18.7,809981.14
40.9,65.6,627057.45
82.8,24.6,788397.97
108.6,10.8,918042.47
92.9,25.1,838631.48
42.4,72.5,507380.33
29.2,85.7,479191.06
31.2,83.2,482463.9
64.5,40.3,726903.28
65.7,67.1,491079.64
87.6,21.3,775922.02
95.2,30.0,783508.75
44.4,89.7,330610.64
117.9,2.3,949666.97
97.2,9.5,919409.34
94.6,21.6,865290.53
106.5,3.6,945916.63
83.9,19.0,867331.06
60.4,58.7,638716.73
59.8,42.7,752112.73
41.4,89.4,414770.75
31.6,81.9,500116.19
80.7,34.8,698546.43
88.8,26.7,839171.69
72.7,38.6,770421.65
62.4,59.4,559075.76
80.5,27.5,808997.39
62.2,62.8,571699.16
59.2,41.5,744042.85
61.2,55.7,645780.25
89.6,44.2,724581.63
72.9,30.2,856334.21
17.8,94.9,352705.49
46.2,76.6,519703.41
98.4,14.9,937364.23
35.2,87.0,449194.1
70.6,49.3,708470.2
35.7,89.6,492520.23
48.9,80.2,501603.23
75.3,43.1,714579.92
104.7,3.2,1006637.03
91.9,27.6,801229.88
79.8,54.6,604303.4
51.3,63.7,573567.17
76.4,26.5,897535.66
107.8,14.8,833384.48
33.5,83.7,525022.15
0.0,98.5,432348.04
70.7,53.0,578210.69
88.5,18.0,893835.79
83.9,28.0,724467.37
110.8,2.8,980892.52
29.5,91.5,444202.66
105.7,12.7,863641.11
53.4,58.1,633585.82
89.8,28.1,873489.09
57.1,55.9,618606.61
58.4,65.5,516825.65
41.3,83.1,511463.67
81.4,21.4,944310.89
119.0,2.1,945478.94
91.5,14.6,940957.39
37.0,90.1,458866.44
34.9,87.5,400361.15
74.3,60.1,550931.93
53.4,60.5,658907.05
46.4,66.8,639987.4
93.3,18.4,889060.74
24.6,91.5,383404.97
79.8,42.5,780242.26
58.8,38.9,749716.95
52.3,52.4,662956.45
94.2,5.6,980021.86
103.8,17.5,914895.53
60.4,74.1,520741.74
100.7,9.2,941661.78
53.7,60.7,625493.21
87.9,25.3,823544.26
86.0,39.5,733938.37
74.1,29.6,713964.44
79.8,36.2,738856.41
54.8,72.2,522598.55
87.6,30.4,735364.24
60.5,57.1,637802.13
76.7,48.1,653400.49
22.9,66.7,690722.31
32.4,93.7,448137.19
37.3,73.5,518596.54
71.6,22.3,872448.75
111.4,4.1,941477.84
99.5,27.0,767282.78
54.7,59.9,619091.14
114.0,6.1,892846.06
81.0,50.1,591660.22
69.1,60.1,606068.02
95.7,34.1,761022.99
47.8,77.3,453598.91
100.4,11.6,942675.54
86.4,8.4,934456.64
41.8,73.1,541885.6
56.5,50.1,719346.12
69.5,69.2,506495.25
68.6,44.0,728610.33
88.4,25.4,799437.15
41.6,82.1,452146.63
38.3,80.1,474012.11
64.2,69.8,483631.15
78.6,27.9,812139.34
58.5,59.4,545679.54
69.5,36.7,747437.48
87.7,10.1,932592.35
21.2,91.8,412741.12
96.5,14.5,880901.56
20.1,95.1,396659.79
62.4,45.2,733067.74
