employee_id,department_raw,department,office_zip,tenure_years,age,year_hired,regional_unemployment,regional_cpi_inflation,performance_rating,bonus_pay,base_salary,retention_risk
E100019,marketing,Marketing,37330,0.1,37,2026,4.57,3.38,,,64453.49,0.199
E100020,Sls,Sales,88542,3.6,26,2023,2.58,2.82,3.0,5496.9,83139.47,0.269
E100021,ENGINEERING ,Engineering,73722,4.5,33,2022,5.02,1.95,4.0,5250.14,107675.22,0.11
E100022,Sales ,Sales,89728,2.9,44,2024,2.55,1.78,3.0,5156.97,86166.89,0.235
E100023, sales,Sales,78598,4.7,37,2022,5.71,4.47,3.0,2646.09,81479.61,0.243
E100024,SLS.,Sales,36636,3.3,29,2023,4.82,3.55,4.0,2628.66,,0.264
E100025,ENG.,Engineering,75176,13.8,45,2013,5.91,1.89,3.5,7669.21,155869.8,0.133
E100026,MKTG.,Marketing,94082,2.8,39,2024,5.09,1.41,2.5,3845.36,74575.68,0.2
E100027, engineerING,Engineering,35082,2.0,21,2024,6.24,3.62,4.0,3568.62,96652.06,0.212
E100028,ENG.,Engineering,72962,6.4,38,2020,4.08,2.62,3.5,7288.19,120644.03,0.224
E100029,sales,Sales,74383,3.0,32,2023,3.75,4.94,2.5,7906.49,55397.87,0.321
E100030,SLS.,Sales,42781,3.5,26,2023,6.21,3.28,2.0,1846.94,69457.04,0.299
E100031, sales,Sales,96753,3.2,35,2023,5.44,4.55,3.5,4090.25,80019.16,0.235
E100032,Eng,Engineering,85918,6.2,37,2020,3.82,2.18,3.0,4760.68,124277.57,0.202
E100033,ENGINEERING ,Engineering,45761,1.5,32,2025,3.29,5.17,2.5,3853.72,88606.46,0.247
E100034,Marketing ,Marketing,55443,6.6,36,2020,4.2,4.22,,,,0.217
E100035,engineering,Engineering,59549,5.3,31,2021,5.1,1.41,4.0,10885.41,110544.99,0.219
E100036,ENG.,Engineering,75697,11.0,35,2015,6.99,2.76,3.0,7628.57,129390.1,0.196
E100037,Mktg,Marketing,27855,4.2,32,2022,3.69,3.53,4.0,2994.45,76762.4,0.16
E100038,engineering,Engineering,33601,1.6,37,2025,8.79,2.92,4.5,7329.47,103579.97,0.163
E100039,Sales ,Sales,82846,4.2,36,2022,6.39,3.31,4.0,3431.52,80414.87,0.194
E100040,Engineering,Engineering,13001,4.6,35,2022,6.85,3.02,4.0,8178.42,123838.84,0.178
E100041,Sales ,Sales,27302,8.1,34,2018,8.37,1.52,3.5,4910.4,95140.41,0.257
E100042,Sls,Sales,40707,1.6,31,2025,5.18,1.79,3.0,3717.1,,0.205
E100043,ENG.,Engineering,22676,1.0,36,2025,4.34,2.73,3.5,2186.46,95145.22,0.275
E100044,sales,Sales,99214,4.3,38,2022,5.96,4.2,3.5,2692.8,,0.282
E100045, sales,Sales,54293,11.3,40,2015,6.56,4.28,3.0,7217.07,108798.14,0.226
E100046,Eng,Engineering,99150,5.8,24,2021,7.25,3.48,3.0,2539.82,96857.47,0.262
E100047,ENG.,Engineering,80452,6.0,34,2020,5.79,4.53,2.5,0.0,120276.73,0.21
E100048,Sales ,Sales,37330,1.2,30,2025,4.57,3.38,3.5,3217.87,71888.95,0.293
E100049,engineering,Engineering,37333,3.8,30,2023,7.3,2.9,3.5,11779.18,115008.95,0.184
E100050,ENG.,Engineering,87559,8.2,37,2018,4.1,4.35,3.0,7020.68,122462.07,0.162
E100051,ENG.,Engineering,21423,4.7,40,2022,2.83,4.09,4.0,4294.64,95916.8,0.197
E100052,SLS.,Sales,38317,0.9,32,2026,4.46,2.12,,,45489.29,0.317
E100053, sales,Sales,63746,3.8,40,2023,4.27,3.38,3.0,4650.64,73774.69,0.295
E100054,SALES,Sales,10335,5.6,29,2021,3.19,3.51,3.5,155.95,90931.68,0.285
E100055,Sales ,Sales,54109,3.5,33,2023,3.83,4.18,4.0,3635.24,96256.44,0.178
E100056,Mktg,Marketing,35616,1.8,23,2025,5.93,2.34,,,85561.25,0.192
E100057,Marketing ,Marketing,85918,6.6,35,2020,3.82,2.18,3.5,8247.26,85220.95,0.13
E100058,ENGINEERING ,Engineering,44089,2.7,28,2024,4.62,3.9,3.0,2519.77,90451.92,0.202
E100059,ENGINEERING ,Engineering,75492,5.0,42,2021,3.03,1.98,3.5,10276.87,127186.44,0.181
E100060,Sales ,Sales,25117,3.7,37,2023,7.9,2.76,,,65751.09,0.236
E100061,MARKETING,Marketing,67180,2.6,39,2024,8.38,3.21,3.5,0.0,91300.35,0.154
E100062,Mktg,Marketing,34723,12.2,41,2014,3.68,1.33,,,121597.92,0.221
E100063,sales,Sales,94429,2.4,28,2024,4.98,1.83,3.5,5959.05,92160.99,0.189
E100064,marketing,Marketing,18787,3.9,30,2023,5.68,2.57,2.5,4302.21,82058.21,0.26
E100065,Marketing ,Marketing,14879,3.7,36,2023,3.1,2.65,3.5,5559.0,76324.67,0.224
E100066,MARKETING,Marketing,33601,4.2,44,2022,8.79,2.92,3.5,4812.77,86667.87,0.177
E100067,engineering,Engineering,94396,11.6,45,2015,5.09,2.88,4.0,8413.58,151010.31,0.162
E100068, engineerING,Engineering,30471,5.6,35,2021,5.8,4.64,3.0,3882.14,110846.61,0.199
E100069,engineering,Engineering,49709,2.6,33,2024,4.07,2.23,4.0,4541.95,94882.52,0.162
E100070,engineering,Engineering,16778,9.4,40,2017,3.16,2.88,3.0,3871.66,121815.89,0.192
E100071,engineering,Engineering,39078,6.2,47,2020,2.51,1.2,3.5,998.14,110514.49,0.213
E100072,SALES,Sales,78068,2.6,40,2024,5.24,2.08,3.0,377.41,85329.56,0.329
E100073,Engineering,Engineering,70096,8.5,41,2018,6.87,3.87,3.0,4333.67,,0.119
E100074,Eng,Engineering,98135,1.2,33,2025,6.69,2.16,3.0,0.0,97320.34,0.2
E100075,Eng,Engineering,88085,1.5,34,2025,3.33,2.45,3.5,547.18,,0.204
E100076,Eng,Engineering,68776,0.8,34,2026,5.95,4.03,2.5,2285.79,104049.83,0.221
E100077,SALES,Sales,89303,0.5,29,2026,3.5,1.72,,,68449.2,0.199
E100078, mArketing,Marketing,38863,8.1,35,2018,5.73,1.88,,,102600.84,0.11
E100079,Sales ,Sales,17296,4.3,40,2022,5.85,4.23,,,66752.99,0.274
E100080,Sls,Sales,27796,0.9,32,2026,5.52,2.49,,,80622.87,0.209
E100081,Engineering,Engineering,87053,3.6,39,2023,5.34,2.68,3.5,2345.03,118712.2,0.221
E100082,SLS.,Sales,62228,6.8,46,2020,4.8,2.88,3.5,1707.53,75058.69,0.219
E100083, engineerING,Engineering,81898,2.1,36,2024,6.74,2.72,3.5,2409.52,111278.78,0.202
E100084,ENG.,Engineering,10984,2.9,36,2024,4.36,3.07,4.0,9369.19,102026.96,0.157
E100085,Engineering,Engineering,76838,12.5,60,2014,3.53,2.94,3.0,7049.72,149904.28,0.155
E100086, sales,Sales,41965,3.1,35,2023,3.95,1.34,4.0,3371.72,75913.73,0.223
E100087,Mktg,Marketing,28900,1.0,27,2025,5.19,2.5,,,67297.98,0.197
E100088,engineering,Engineering,39078,2.5,32,2024,2.51,1.2,3.5,5452.31,100066.6,0.239
E100089,marketing,Marketing,96397,0.9,40,2026,4.15,4.02,,,65256.55,0.167
E100090,Engineering,Engineering,91242,5.9,30,2021,4.02,2.1,2.0,3341.1,119462.49,0.254
E100091,Sls,Sales,79649,1.8,29,2025,7.03,4.17,2.5,711.19,,0.311
E100092,Eng,Engineering,19298,1.8,38,2025,2.72,3.46,3.5,5548.74,84992.92,0.157
E100093,ENGINEERING ,Engineering,84169,13.3,43,2013,2.53,2.87,4.5,11264.78,143578.17,0.225
E100094,Eng,Engineering,45971,1.3,32,2025,3.85,1.99,4.0,3790.42,87907.44,0.168
E100095, mArketing,Marketing,90717,1.1,37,2025,5.38,4.61,3.0,0.0,72646.14,0.075
E100096, engineerING,Engineering,97590,1.5,29,2025,4.25,1.99,4.5,6745.5,105179.44,0.164
E100097,Engineering,Engineering,87488,6.9,31,2020,4.75,3.76,4.0,3242.18,114431.03,0.112
E100098,Eng,Engineering,97131,5.4,29,2021,4.71,3.67,3.5,6377.08,,0.131
E100099,SALES,Sales,29349,2.4,36,2024,6.01,2.49,,,71510.48,0.25
E100100,sales,Sales,86253,2.3,35,2024,4.41,2.67,2.5,429.78,63325.74,0.307
E100101,SLS.,Sales,98135,5.1,33,2021,6.69,2.16,2.5,0.0,81640.45,0.277
E100102, engineerING,Engineering,62253,4.4,30,2022,3.7,3.64,3.5,8830.01,117260.65,0.201
E100103,Sls,Sales,12290,3.3,33,2023,2.54,3.1,3.0,1641.75,69398.94,0.285
E100104,SALES,Sales,50678,5.5,42,2021,3.97,3.08,,,,0.243
E100105,Sales ,Sales,65862,1.5,28,2025,6.1,2.4,3.5,3995.25,78158.51,0.262
E100106,Engineering,Engineering,11402,1.9,30,2025,5.14,1.44,3.5,6113.95,104699.56,0.228
E100107,ENGINEERING ,Engineering,52576,5.7,31,2021,6.55,2.57,3.5,6108.44,120208.16,0.094
E100108,ENG.,Engineering,54244,4.6,34,2022,4.3,2.91,3.5,6043.96,103800.67,0.232
E100109,sales,Sales,86478,3.8,36,2023,5.78,4.3,2.0,4187.07,,0.285
E100110,Mktg,Marketing,71199,13.0,55,2013,3.09,1.56,2.5,5600.05,94649.54,0.229
E100111,ENG.,Engineering,48620,6.3,38,2020,5.09,1.53,3.5,1786.74,124065.13,0.164
E100112,engineering,Engineering,95980,2.5,33,2024,4.5,0.52,3.0,5883.98,93630.8,0.145
E100113,marketing,Marketing,66918,2.0,37,2024,3.59,3.79,,,71303.34,0.138
E100114,ENG.,Engineering,82652,4.8,39,2022,7.24,3.33,4.5,8073.67,,0.214
E100115,Sales ,Sales,87559,8.1,36,2018,4.1,4.35,3.5,9445.34,103279.27,0.266
E100116,Sales ,Sales,39069,0.7,43,2026,5.58,3.47,,,54560.77,0.183
E100117,Sls,Sales,26939,4.6,35,2022,3.45,3.86,3.0,5649.1,84690.16,0.317
E100118,Eng,Engineering,12351,2.9,35,2024,6.42,3.24,4.5,4869.32,88973.7,0.201
E100119,marketing,Marketing,78885,4.3,38,2022,5.14,2.61,,,63804.76,0.121
E100120,marketing,Marketing,29365,1.0,34,2025,3.49,2.21,3.5,5087.16,64023.22,0.217
E100121,marketing,Marketing,50678,8.0,47,2018,3.97,3.08,2.5,6290.61,96392.62,0.255
E100122,engineering,Engineering,50247,9.5,38,2017,7.02,3.35,4.0,3068.43,135667.83,0.116
E100123,ENG.,Engineering,56899,5.9,41,2021,4.79,4.04,3.5,8518.06,116046.55,0.191
E100124,Eng,Engineering,86960,10.7,43,2016,3.69,3.42,3.5,6247.14,137686.06,0.153
E100125,marketing,Marketing,85918,2.8,39,2024,3.82,2.18,3.0,0.0,83002.59,0.202
E100126,engineering,Engineering,14432,4.5,34,2022,7.55,4.39,3.5,6729.28,111115.71,0.143
E100127,ENGINEERING ,Engineering,26939,6.0,35,2020,3.45,3.86,3.0,6228.93,98886.53,0.252
E100128,Engineering,Engineering,72622,4.8,39,2022,5.37,4.48,3.0,3720.12,114962.22,0.17
E100129,MARKETING,Marketing,21116,3.1,36,2023,4.46,3.46,,,86314.84,0.155
E100130,engineering,Engineering,35616,3.3,30,2023,5.93,2.34,4.0,10392.74,101875.18,0.151
E100131,Sales ,Sales,40613,8.9,47,2018,2.81,0.59,3.5,2416.53,,0.325
E100132,MARKETING,Marketing,16147,3.7,38,2023,6.44,4.02,3.5,6802.18,78070.0,0.151
E100133,Eng,Engineering,14912,7.8,38,2019,2.0,2.77,4.0,3688.24,124514.44,0.252
E100134,MKTG.,Marketing,26939,3.5,32,2023,3.45,3.86,4.5,6769.54,81850.33,0.219
E100135,ENG.,Engineering,35011,7.7,41,2019,5.42,3.64,4.0,8201.99,120553.69,0.125
E100136,SALES,Sales,40951,4.0,38,2022,6.57,2.73,3.5,5994.56,76220.34,0.261
E100137,MKTG.,Marketing,29316,5.7,29,2021,4.23,4.1,3.5,7465.31,74656.96,0.182
E100138,Sales ,Sales,52734,2.2,35,2024,5.75,3.44,3.0,1032.01,,0.203
E100139,engineering,Engineering,67433,4.5,39,2022,4.11,3.46,4.0,8742.09,124002.55,0.18
E100140,MKTG.,Marketing,86837,2.2,21,2024,3.97,1.81,3.5,0.0,60295.88,0.202
E100141,MKTG.,Marketing,16147,2.7,35,2024,6.44,4.02,3.0,0.0,82909.4,0.225
E100142,Sales ,Sales,20092,2.9,37,2024,3.59,3.74,3.5,2337.79,75672.49,0.303
E100143,Marketing ,Marketing,62255,3.3,37,2023,4.78,3.83,4.0,6518.77,91590.91,0.276
E100144,Mktg,Marketing,20085,7.1,42,2019,4.54,4.48,2.5,7304.03,103728.62,0.23
E100145, engineerING,Engineering,33601,2.6,32,2024,8.79,2.92,3.0,8430.35,94574.62,0.202
E100146,ENG.,Engineering,10963,4.2,30,2022,5.37,4.04,3.5,4383.97,105424.06,0.156
E100147, mArketing,Marketing,61835,7.7,30,2019,3.55,2.65,,,76544.01,0.255
E100148, engineerING,Engineering,21794,5.6,42,2021,2.0,3.01,2.5,5818.67,115371.97,0.224
E100149,ENG.,Engineering,30022,0.7,35,2026,5.86,2.65,3.0,5471.19,88943.25,0.254
E100150,Sls,Sales,42850,1.0,38,2025,5.01,2.19,3.5,2639.54,,0.328
E100151, sales,Sales,18787,4.9,32,2022,5.68,2.57,3.5,3789.79,71990.58,0.229
E100152,Eng,Engineering,65862,2.5,38,2024,6.1,2.4,,,106649.02,0.221
E100153,MARKETING,Marketing,28732,0.9,24,2026,3.87,5.68,,,97677.04,0.198
E100154,ENGINEERING ,Engineering,79811,2.4,29,2024,4.72,3.75,3.0,2920.93,94361.51,0.164
E100155,Sls,Sales,25124,5.0,37,2021,4.65,2.61,2.5,2021.64,77359.58,0.305
E100156,engineering,Engineering,28900,2.9,37,2024,5.19,2.5,3.0,3082.43,102424.22,0.191
E100157,Sales ,Sales,35964,3.9,43,2023,4.9,3.09,,,,0.274
E100158,SLS.,Sales,73344,3.1,33,2023,5.26,1.25,3.5,6709.04,91051.77,0.32
E100159,sales,Sales,90018,2.1,29,2024,6.48,2.83,3.5,4760.44,69396.0,0.283
E100160, engineerING,Engineering,90026,4.4,31,2022,3.16,2.08,4.0,11532.73,114020.84,0.179
E100161,Sls,Sales,44084,0.8,28,2026,2.76,2.66,,,,0.32
E100162,ENGINEERING ,Engineering,97918,1.9,44,2025,4.64,3.13,3.5,3739.11,95630.26,0.11
E100163,engineering,Engineering,23839,6.3,41,2020,4.67,4.68,4.5,6875.35,120591.92,0.165
E100164,marketing,Marketing,47107,1.1,38,2025,4.19,2.85,3.0,3248.2,78244.67,0.168
E100165,Eng,Engineering,89564,3.7,34,2023,6.42,3.35,3.5,6845.42,109264.73,0.206
E100166,sales,Sales,10963,2.7,34,2024,5.37,4.04,3.0,1609.72,55537.35,0.331
E100167,sales,Sales,27034,2.5,37,2024,5.09,4.03,3.5,523.98,,0.269
E100168,engineering,Engineering,16846,6.7,35,2020,2.8,4.11,3.0,3094.01,123538.28,0.196
E100169,Sales ,Sales,93148,7.6,37,2019,5.72,1.7,,,98938.76,0.232
E100170,Engineering,Engineering,98894,1.5,29,2025,7.03,4.96,2.5,5124.94,109141.18,0.263
E100171,Marketing ,Marketing,45763,3.3,32,2023,4.44,1.66,3.5,79.18,75874.81,0.172
E100172,engineering,Engineering,65898,0.6,32,2026,2.37,2.47,4.0,7379.6,111948.13,0.19
E100173,Sls,Sales,43143,6.5,33,2020,3.86,2.45,4.0,6021.44,91144.07,0.298
E100174,engineering,Engineering,75129,3.6,36,2023,6.23,3.43,4.0,6415.61,125742.46,0.227
E100175,ENGINEERING ,Engineering,18225,1.0,33,2025,5.28,2.29,4.0,4783.47,104179.64,0.142
E100176,engineering,Engineering,61648,2.0,32,2024,5.47,2.88,4.0,3707.96,92479.49,0.12
E100177,sales,Sales,42903,1.4,28,2025,5.63,2.04,3.5,4134.95,75658.72,0.256
E100178,sales,Sales,53713,1.9,33,2025,2.0,4.08,3.5,6686.01,77379.2,0.244
E100179,SALES,Sales,77538,0.7,29,2026,3.72,3.64,,,71636.59,0.209
E100180,SALES,Sales,59549,8.9,40,2018,5.1,1.41,3.5,1366.85,83536.09,0.218
E100181,SALES,Sales,87895,1.6,38,2025,4.06,4.9,3.0,1534.68,50053.14,0.302
E100182,Marketing ,Marketing,52626,3.7,28,2023,3.89,1.28,,,76991.54,0.206
E100183,ENG.,Engineering,83893,5.0,47,2021,5.66,4.61,2.5,3055.29,92744.31,0.328
E100184, sales,Sales,83089,7.6,38,2019,7.27,2.24,2.5,3917.45,80777.84,0.284
E100185,Sls,Sales,39177,3.8,37,2023,3.45,2.97,,,80678.05,0.343
E100186, engineerING,Engineering,54999,3.0,30,2023,4.48,3.09,4.0,1182.75,94148.15,0.2
E100187,ENGINEERING ,Engineering,65862,3.9,41,2023,6.1,2.4,3.5,2622.26,106848.23,0.158
E100188,Sales ,Sales,83056,1.5,32,2025,6.75,1.71,4.5,4928.3,65256.51,0.254
E100189,ENGINEERING ,Engineering,24459,1.7,31,2025,5.15,2.68,3.0,0.0,98604.63,0.158
E100190,sales,Sales,48595,3.0,31,2023,6.51,1.56,,,83599.22,0.27
E100191,Engineering,Engineering,24980,0.4,30,2026,3.56,5.35,4.0,6402.18,80744.57,0.219
E100192,ENGINEERING ,Engineering,12821,2.2,35,2024,3.93,2.24,4.0,2406.03,93487.42,0.165
E100193, sales,Sales,59742,2.6,34,2024,5.58,1.68,,,59488.49,0.294
E100194,Engineering,Engineering,87559,11.8,43,2015,4.1,4.35,4.0,5868.58,148318.49,0.231
E100195,ENGINEERING ,Engineering,91586,8.2,36,2018,4.3,3.54,3.5,9852.73,128283.36,0.24
E100196,MKTG.,Marketing,64371,5.0,32,2021,2.89,0.87,4.5,6152.01,,0.163
E100197,SALES,Sales,23383,6.6,35,2020,2.0,1.92,4.0,3634.66,,0.288
E100198,engineering,Engineering,46826,1.6,35,2025,6.22,3.51,3.0,735.66,95775.44,0.208
E100199,engineering,Engineering,15202,4.0,38,2022,5.43,1.97,3.5,6569.32,111929.0,0.137
E100200,sales,Sales,11066,6.0,41,2020,3.26,1.74,2.5,5871.78,82564.87,0.288
E100201,SLS.,Sales,50735,1.7,33,2025,3.48,4.19,4.0,2654.37,76385.5,0.289
E100202,MARKETING,Marketing,84742,1.0,34,2025,3.49,1.93,3.5,2524.42,72470.57,0.193
E100203,Eng,Engineering,49499,4.6,35,2022,3.24,0.5,4.0,4622.74,108384.84,0.203
E100204,ENGINEERING ,Engineering,78894,1.1,23,2025,7.22,4.05,3.5,9541.35,113052.43,0.161
E100205,Eng,Engineering,39069,5.3,35,2021,5.58,3.47,2.5,0.0,103516.12,0.316
E100206,Engineering,Engineering,47432,7.5,37,2019,5.31,1.95,5.0,12924.19,121377.64,0.162
E100207,SLS.,Sales,11294,1.7,28,2025,6.14,4.48,3.5,2924.01,77340.04,0.283
E100208,engineering,Engineering,20996,1.8,30,2025,5.0,4.28,3.0,4334.63,112841.61,0.201
E100209, mArketing,Marketing,32975,7.4,39,2019,2.51,1.58,,,91755.39,0.142
E100210,SALES,Sales,83893,3.8,29,2023,5.66,4.61,4.5,6838.97,89142.47,0.319
E100211,marketing,Marketing,34642,6.7,34,2020,5.04,2.61,,,89276.5,0.205
E100212,Engineering,Engineering,37138,3.1,42,2023,4.06,2.58,3.5,8886.9,124818.84,0.186
E100213,sales,Sales,96182,3.2,26,2023,4.58,4.02,3.5,6630.48,,0.302
E100214,Sales ,Sales,31625,3.8,34,2023,4.75,2.46,2.5,0.0,66933.35,0.308
E100215,sales,Sales,53713,10.3,35,2016,2.0,4.08,3.0,5622.53,98846.56,0.325
E100216,ENGINEERING ,Engineering,94433,6.4,34,2020,4.48,5.01,4.5,8335.96,131817.09,0.105
E100217, engineerING,Engineering,85041,2.1,32,2024,5.32,4.47,3.5,4987.95,97177.38,0.213
E100218,Sales ,Sales,89584,4.2,30,2022,6.27,3.66,3.0,7168.65,83894.25,0.267
E100219,engineering,Engineering,47850,2.9,37,2024,4.82,2.2,3.0,2682.48,109189.21,0.188
E100220,engineering,Engineering,55727,2.5,40,2024,5.46,3.26,4.0,8539.82,103724.14,0.146
E100221,MKTG.,Marketing,84784,5.2,40,2021,6.14,3.92,2.5,3587.08,81475.49,0.221
E100222, sales,Sales,14588,4.5,41,2022,2.77,2.86,3.5,3288.49,75471.14,0.28
E100223,SLS.,Sales,91021,1.7,26,2025,6.93,2.56,4.5,7429.13,93008.84,0.214
E100224, engineerING,Engineering,56850,3.8,34,2023,4.3,2.38,4.5,7467.41,97805.45,0.194
E100225,Sls,Sales,36938,2.4,36,2024,5.78,3.29,3.5,798.98,73897.35,0.323
E100226,ENG.,Engineering,91732,5.0,40,2021,6.76,4.1,,,122440.55,0.123
E100227,Marketing ,Marketing,70435,2.4,42,2024,6.15,4.85,4.0,1839.94,74217.9,0.2
E100228,MARKETING,Marketing,10621,3.3,40,2023,3.86,3.07,3.0,2467.9,78986.09,0.163
E100229,Eng,Engineering,98272,2.6,38,2024,6.04,5.8,4.0,9242.14,97992.53,0.159
E100230,ENGINEERING ,Engineering,48591,0.8,45,2026,3.71,3.37,4.5,8725.8,103903.33,0.183
E100231,engineering,Engineering,87855,10.0,41,2016,6.11,3.57,3.0,1524.49,127648.99,0.184
E100232,Sales ,Sales,31174,3.7,33,2023,5.26,2.52,3.5,2329.34,60255.21,0.267
E100233, mArketing,Marketing,45763,10.2,42,2016,4.44,1.66,,,93679.85,0.135
E100234,SLS.,Sales,13001,3.9,30,2023,6.85,3.02,3.5,5452.18,71839.1,0.304
E100235,sales,Sales,86938,5.8,37,2021,5.64,1.61,3.5,2715.31,86844.63,0.263
E100236,marketing,Marketing,59409,2.2,25,2024,3.45,2.79,3.5,832.83,78528.29,0.234
E100237,sales,Sales,27302,2.3,31,2024,8.37,1.52,3.5,3442.87,,0.309
E100238,ENG.,Engineering,14341,3.6,34,2023,3.99,2.18,4.0,7544.37,102029.85,0.103
E100239,Eng,Engineering,12821,10.1,46,2016,3.93,2.24,4.0,7978.39,123187.96,0.205
E100240,Sales ,Sales,25117,1.8,38,2025,7.9,2.76,3.0,299.87,,0.253
E100241,sales,Sales,37779,0.6,27,2026,3.9,2.85,,,73258.91,0.301
E100242,Engineering,Engineering,11402,7.3,49,2019,5.14,1.44,3.5,5616.73,117275.39,0.148
E100243,MARKETING,Marketing,16226,6.1,38,2020,3.56,3.51,3.5,5225.66,94827.65,0.217
E100244, mArketing,Marketing,27151,2.7,35,2024,6.16,2.01,3.0,1488.24,,0.138
E100245, sales,Sales,19729,12.7,36,2014,4.85,4.64,4.0,8208.91,90710.6,0.276
E100246,marketing,Marketing,78849,13.0,41,2013,6.66,4.59,,,,0.191
E100247,ENG.,Engineering,45699,0.7,37,2026,4.02,2.76,4.0,6816.26,100493.32,0.174
E100248, engineerING,Engineering,98272,2.2,34,2024,6.04,5.8,3.0,1072.33,98786.59,0.139
E100249, engineerING,Engineering,53986,3.6,35,2023,3.28,3.33,3.0,7223.32,112205.99,0.195
E100250,Sales ,Sales,11042,4.9,37,2022,5.19,2.62,4.0,6972.48,84670.43,0.297
E100251,SLS.,Sales,93855,4.4,28,2022,6.16,2.46,3.5,7617.85,101610.36,0.32
E100252,MKTG.,Marketing,73211,3.7,34,2023,6.31,1.4,3.0,3665.68,89327.55,0.258
E100253,ENGINEERING ,Engineering,46270,1.5,40,2025,7.99,3.63,4.0,4934.49,85360.7,0.201
E100254,engineering,Engineering,36036,5.3,42,2021,3.94,2.33,4.0,6664.69,118665.41,0.19
E100255,SLS.,Sales,91078,5.5,36,2021,4.8,2.57,2.5,8142.05,81485.14,0.328
E100256,SLS.,Sales,63961,6.9,46,2020,4.24,2.33,4.0,4024.48,89676.64,0.337
E100257, engineerING,Engineering,56912,1.4,26,2025,2.65,2.69,3.0,757.46,93076.73,0.231
E100258, engineerING,Engineering,90720,3.2,29,2023,6.49,5.48,4.5,6121.51,,0.183
E100259,Mktg,Marketing,10335,2.6,43,2024,3.19,3.51,,,66936.32,0.199
E100260,engineering,Engineering,14432,1.3,35,2025,7.55,4.39,3.5,7482.53,86658.23,0.174
E100261,SLS.,Sales,26289,3.1,33,2023,3.66,1.68,3.0,0.0,,0.275
E100262,ENGINEERING ,Engineering,41055,1.6,32,2025,5.3,3.01,2.5,1408.04,93708.88,0.2
E100263,Eng,Engineering,12516,1.1,28,2025,4.9,4.32,3.5,4618.17,82837.28,0.155
E100264, sales,Sales,68272,6.1,38,2020,5.6,2.77,2.5,5931.21,92016.08,0.307
E100265,engineering,Engineering,19689,2.7,35,2024,3.45,3.0,3.5,7278.89,109921.28,0.192
E100266,engineering,Engineering,23383,2.1,33,2024,2.0,1.92,4.0,9331.27,88062.11,0.234
E100267,Eng,Engineering,97699,8.1,33,2018,5.85,2.3,3.5,6937.19,121454.06,0.207
E100268,ENGINEERING ,Engineering,98272,5.6,38,2021,6.04,5.8,3.0,3610.72,102994.11,0.191
E100269,ENGINEERING ,Engineering,85602,0.5,29,2026,3.2,2.83,4.0,8415.0,104601.84,0.23
E100270,Eng,Engineering,68928,4.9,31,2022,3.53,3.38,3.5,3050.49,129367.9,0.185
E100271,ENGINEERING ,Engineering,77112,4.9,42,2022,8.05,3.33,3.5,991.65,105327.28,0.028
E100272,ENGINEERING ,Engineering,34106,3.0,45,2023,5.3,3.35,4.0,8641.76,103351.61,0.145
E100273,Marketing ,Marketing,73872,2.9,44,2024,7.03,2.93,,,66502.59,0.208
E100274,Sls,Sales,85735,0.9,35,2026,4.67,3.89,,,72897.07,0.226
E100275,Engineering,Engineering,23651,12.6,42,2014,4.53,2.33,4.0,6471.06,143366.52,0.214
E100276,ENG.,Engineering,66361,3.1,34,2023,5.47,2.01,3.0,7609.08,109928.04,0.216
