Home_Value,Square_Footage,Property_Age,Distance_to_Transit,School_District_Rating
395685.99,2454.4,60.4,10.33,Good
397741.39,2850.3,76.2,4.84,Poor
157026.08,1301.9,39.7,10.42,Average
351818.27,1990.4,68.9,4.29,Average
419726.03,2831.3,32.8,8.71,Good
242737.58,1978.1,59.6,9.23,Poor
471174.39,3267.1,78.1,3.98,Good
331400.43,2599.6,70.8,8.77,Poor
414815.38,2928.1,44.6,10.81,Poor
297319.6,1788.5,10.8,12.03,Average
501135.04,3293.8,29.1,9.53,Average
426200.46,2660.1,4.8,6.01,Excellent
315984.23,2438.3,47.0,0.2,Good
476206.68,2678.9,3.6,0.71,Excellent
347055.31,2392.4,8.8,11.87,Poor
391003.86,3051.5,79.0,8.05,Average
261164.62,2170.2,66.6,13.36,Poor
304597.08,2077.3,52.4,11.13,Good
314715.21,2122.6,8.2,13.6,Good
304857.3,2369.6,35.0,12.17,Good
368809.72,2276.4,4.0,12.2,Good
115038.99,1122.8,43.9,8.11,Poor
408586.88,2896.2,35.4,1.45,Excellent
180166.48,1665.2,60.4,13.05,Average
216465.94,1939.6,0.6,1.83,Poor
289107.79,2016.8,31.7,0.4,Average
421861.72,2691.6,76.7,12.98,Poor
196074.64,961.9,76.3,14.0,Excellent
227783.07,1391.7,43.8,3.53,Excellent
429971.47,3670.1,39.3,3.65,Poor
345071.21,3020.2,49.9,5.36,Poor
469005.12,3265.0,49.0,5.79,Poor
297420.13,2063.9,57.8,11.14,Good
322770.51,2967.1,44.8,2.77,Average
362128.39,2100.2,14.9,0.92,Poor
325389.8,1958.5,72.9,10.71,Average
175256.69,1129.6,47.8,0.27,Average
268031.38,2172.7,25.1,14.03,Good
260956.46,2059.8,3.0,12.13,Excellent
160722.15,885.6,23.3,9.79,Average
198949.35,1642.6,54.1,11.75,Good
289667.25,2043.1,2.7,11.99,Good
323686.42,1527.6,4.5,11.75,Average
326460.43,2670.5,73.7,11.23,Excellent
340436.8,2024.1,49.6,0.62,Excellent
289217.35,2403.9,72.3,12.06,Poor
394994.58,2932.3,52.1,14.99,Average
421143.46,2442.5,78.4,9.29,Excellent
221939.97,1397.5,39.3,6.54,Average
352717.63,2633.4,18.5,10.61,Average
275998.95,1870.8,19.8,12.0,Average
216236.9,1225.1,29.9,3.17,Average
284114.29,2092.5,14.9,13.93,Good
415228.93,2496.7,34.5,12.75,Good
307127.82,2461.6,67.6,5.31,Good
188037.71,1241.2,19.2,11.75,Poor
375142.79,2232.0,39.2,4.05,Average
418175.06,2823.9,23.6,2.6,Poor
170538.51,1815.9,55.3,8.44,Average
344031.9,2227.5,19.0,5.48,Good
363530.97,2262.9,7.5,12.09,Average
326975.14,2327.2,55.6,1.41,Poor
391165.51,2895.9,3.5,6.23,Good
309743.84,2307.5,66.9,6.55,Poor
227138.72,1446.7,72.7,4.31,Excellent
235856.57,1589.3,40.7,13.85,Average
369563.9,2363.5,42.6,14.75,Poor
158115.49,1018.7,30.0,4.02,Poor
337148.16,2224.7,42.1,4.16,Good
225609.12,2276.4,61.0,7.55,Average
366946.35,2522.1,30.8,7.52,Average
250131.04,1978.0,8.6,13.72,Good
364690.37,2266.1,34.8,12.58,Average
249264.59,1777.4,74.5,2.22,Excellent
150410.14,1750.0,66.4,13.49,Excellent
389120.36,2795.9,7.1,1.43,Average
288557.11,1877.2,14.8,11.12,Good
284050.56,2427.2,54.1,11.03,Poor
383808.95,2898.7,77.7,3.43,Average
429148.68,3213.9,17.8,3.91,Excellent
336067.9,3100.8,64.8,4.46,Poor
224699.82,1848.2,42.4,10.38,Good
179929.75,1301.2,67.6,14.72,Poor
299319.29,2038.1,63.1,8.84,Good
272118.09,1933.7,2.8,5.93,Good
300583.73,2174.9,66.8,12.75,Good
279820.76,2055.7,9.1,4.58,Poor
277451.59,2136.7,75.0,3.22,Excellent
169937.21,1105.8,8.1,8.67,Poor
417791.59,2414.5,2.1,13.48,Good
464294.23,3355.0,12.9,11.92,Average
432461.17,3296.3,47.6,6.66,Excellent
381988.3,2582.0,37.7,13.19,Good
409250.65,2649.7,13.1,1.72,Average
223786.54,1747.9,66.4,14.2,Good
331747.47,1938.4,40.3,0.65,Good
523119.24,3567.1,15.8,9.13,Good
272283.05,2416.6,5.6,2.5,Excellent
375455.96,3001.6,37.0,14.08,Average
397054.2,2281.0,34.1,11.34,Good
320138.15,2566.7,20.7,13.93,Average
417233.17,2700.3,61.9,12.71,Good
366383.61,2622.6,41.9,6.08,Poor
250519.41,1582.3,76.0,8.78,Excellent
324379.87,2079.7,32.6,7.23,Good
448339.35,3534.4,35.4,3.39,Poor
314979.29,2208.5,42.8,7.86,Poor
455503.52,2962.8,26.5,10.46,Average
357324.3,2152.2,24.1,2.51,Excellent
277605.32,1486.4,27.7,3.09,Excellent
316221.09,1723.4,52.1,13.41,Excellent
236334.09,1304.5,45.0,12.68,Average
183041.88,1110.1,29.4,5.6,Average
261649.32,2017.8,19.3,1.63,Good
309703.42,1762.0,12.6,4.49,Good
225756.47,1370.1,21.1,3.94,Poor
257730.67,1731.8,25.3,9.11,Excellent
184152.02,1853.1,76.8,6.91,Average
338722.08,2511.5,15.5,0.63,Excellent
251601.1,2526.5,69.8,9.45,Excellent
393608.71,2287.6,49.1,6.74,Good
450398.69,2822.3,28.6,2.66,Poor
283798.21,2252.7,79.2,7.47,Good
290841.93,2360.0,56.9,1.55,Good
259826.53,1600.5,3.6,3.52,Good
308250.51,1788.8,16.7,11.53,Average
298964.9,2169.2,3.1,3.08,Average
243929.16,1970.9,1.8,13.04,Excellent
422649.27,3278.5,15.8,2.47,Excellent
446914.32,2562.6,28.8,7.06,Average
324326.01,2623.9,46.4,14.29,Average
317565.31,2118.0,66.2,2.23,Excellent
286910.81,2450.8,46.6,14.18,Good
407950.95,3135.4,63.1,9.58,Good
353802.7,1803.9,2.3,7.99,Average
341720.11,2956.1,55.8,1.77,Good
272259.85,1321.1,6.3,11.92,Good
314206.4,2558.2,14.5,14.21,Excellent
432144.92,2822.9,18.2,9.2,Average
355271.64,2812.1,44.6,9.66,Good
452745.26,2782.1,35.4,0.23,Average
176781.26,1341.9,64.3,11.34,Good
209602.67,2008.3,27.9,10.15,Good
411641.05,3189.9,43.2,11.64,Good
437518.42,2855.8,25.2,9.17,Excellent
240887.93,1843.8,19.4,10.52,Excellent
278574.38,1772.0,35.2,9.12,Poor
403607.61,2494.5,18.8,6.91,Good
290581.9,2144.8,61.7,5.0,Excellent
241717.98,2100.5,73.5,1.6,Excellent
204511.18,1776.5,70.6,8.62,Excellent
318201.83,2384.7,30.4,11.36,Poor
500542.77,2717.1,10.5,14.81,Excellent
365899.3,2216.0,21.5,1.94,Poor
363000.14,2636.3,8.8,2.73,Excellent
338219.41,2218.1,8.4,6.16,Good
442965.6,3819.5,68.8,10.23,Average
484469.3,2613.7,28.8,9.98,Poor
430407.21,3048.1,74.5,1.06,Average
155256.39,1224.2,52.1,10.26,Poor
308468.09,1820.5,30.0,4.02,Good
438199.63,2108.1,32.4,12.92,Poor
209443.61,1719.3,54.3,12.9,Average
143396.75,916.7,41.1,11.66,Excellent
299458.89,1990.6,32.7,1.67,Poor
401901.01,3174.3,44.4,7.28,Excellent
367500.47,2479.6,3.6,4.32,Excellent
331563.77,2528.6,59.7,11.94,Excellent
416657.44,2817.9,30.6,4.47,Good
297367.62,2085.1,58.4,8.64,Average
428900.4,2905.5,14.1,2.95,Excellent
225022.87,2269.4,59.4,9.83,Poor
354517.5,2617.6,47.8,13.71,Excellent
261544.28,1612.4,5.6,14.18,Average
284299.9,2249.5,30.3,9.45,Average
318667.13,2450.7,64.3,1.62,Excellent
286534.97,1764.6,74.1,11.86,Good
203312.71,1564.7,65.1,3.14,Average
239860.4,1235.6,30.2,4.15,Average
337463.95,2455.9,48.6,5.92,Good
348514.43,2343.3,46.5,10.58,Good
414357.7,2747.7,41.0,7.79,Good
412096.66,2545.0,1.7,10.54,Average
439020.73,3376.4,49.0,8.29,Average
274421.71,2396.3,76.8,10.12,Good
365138.78,2723.0,8.4,1.12,Poor
385858.79,2421.2,2.9,1.06,Excellent
284685.17,2292.2,5.8,13.45,Poor
304217.86,1931.7,62.4,8.35,Excellent
337616.03,2587.2,49.7,9.07,Poor
277093.37,2250.6,50.7,8.95,Average
91584.07,1588.6,34.5,9.57,Good
242694.27,2309.8,71.5,7.33,Average
198375.2,1563.2,23.5,10.09,Good
370340.28,2321.2,4.6,6.34,Good
312562.7,2864.7,72.4,7.85,Average
322844.76,2641.2,71.5,14.49,Poor
179509.69,1400.7,56.9,11.9,Excellent
168631.21,1321.9,43.8,3.92,Excellent
151092.7,749.9,19.7,1.19,Average
280609.11,1983.2,57.0,12.75,Average
260229.58,2184.2,27.0,8.79,Excellent
237091.73,1100.8,8.4,10.45,Excellent
352592.06,1814.3,13.5,5.36,Excellent
117387.22,1136.7,79.9,9.02,Poor
287652.91,1808.5,1.7,14.91,Average
349978.27,2891.6,76.4,4.19,Average
354380.45,2282.0,50.7,7.16,Poor
391699.38,3160.9,58.6,12.62,Good
313393.1,2610.4,1.7,9.2,Poor
200277.68,1924.7,73.2,4.74,Good
392002.35,3141.9,28.4,14.77,Good
338428.32,2730.2,66.7,13.9,Poor
271994.71,1163.6,35.8,7.51,Average
322595.73,1988.2,15.8,12.09,Average
284147.61,1752.7,61.8,0.63,Average
281896.06,2067.6,49.9,12.31,Average
285829.57,2388.1,65.8,3.21,Excellent
469019.79,2874.1,56.4,0.12,Excellent
327291.08,2358.7,17.2,3.84,Average
266837.15,2023.0,10.3,10.51,Poor
402455.99,2736.9,3.1,5.52,Average
266701.52,2024.0,49.7,3.71,Excellent
337596.37,2579.7,64.9,9.43,Poor
353427.8,2075.9,68.4,6.08,Poor
405522.7,2958.5,5.3,1.61,Good
373598.84,2251.3,16.4,6.42,Good
313776.16,1868.8,14.2,6.56,Average
153991.41,1442.1,79.3,2.77,Poor
317210.72,2276.1,53.2,4.96,Average
336418.83,1905.1,30.3,6.74,Good
422654.61,3014.6,58.5,11.69,Average
367433.65,2578.6,23.1,5.09,Average
263655.64,2357.7,56.9,11.1,Good
272868.63,2013.7,0.2,9.65,Excellent
362512.66,2566.3,46.8,9.0,Good
298357.31,1612.1,4.6,12.66,Poor
184462.31,994.5,24.2,9.94,Average
207188.91,1446.8,39.2,3.12,Poor
259379.8,2249.1,71.2,14.85,Average
505919.99,3473.5,12.2,7.8,Good
415829.82,2849.8,13.8,8.2,Excellent
293591.19,2293.6,47.1,9.27,Excellent
281425.16,2024.1,41.9,4.22,Good
316403.71,2028.3,35.9,14.47,Poor
275394.25,2174.7,27.3,6.83,Average
360688.84,2076.7,35.3,9.83,Poor
356816.98,3036.1,41.6,8.5,Good
285724.5,1200.1,44.3,1.4,Good
353866.54,2868.9,10.3,9.63,Poor
297691.06,1962.5,26.2,13.43,Good
257088.02,1479.0,31.2,10.17,Poor
328405.58,1818.7,41.9,8.15,Good
362385.07,2118.6,27.2,2.31,Good
480177.12,3001.1,15.6,11.57,Average
169471.32,1778.5,67.1,11.77,Good
396310.59,3100.9,45.6,7.33,Poor
227353.28,1838.9,67.9,0.72,Average
426918.67,3066.6,65.6,1.89,Excellent
235725.21,2023.2,79.7,9.24,Good
477076.98,3569.8,58.1,14.73,Good
402522.03,2693.4,26.8,9.33,Poor
207488.34,2056.0,11.4,5.24,Poor
442571.57,3250.6,45.3,9.76,Poor
308333.19,2302.0,60.9,7.76,Good
191804.87,1513.7,66.3,9.64,Excellent
291067.56,2021.8,15.0,8.57,Excellent
189958.55,1381.3,52.8,11.19,Poor
271424.82,1452.9,6.2,14.72,Good
338718.87,2781.4,52.2,6.25,Poor
305626.83,2354.8,36.1,1.83,Good
260181.66,1723.1,38.1,11.0,Good
359499.97,2490.7,13.3,6.54,Good
183517.97,1738.1,62.7,8.4,Poor
397099.26,2366.9,43.5,14.13,Good
329815.13,2367.3,30.2,12.97,Excellent
374517.65,2752.6,18.2,6.94,Good
142144.76,646.0,69.6,4.28,Poor
282342.9,2498.1,41.2,4.49,Good
464516.53,3058.0,38.8,10.77,Good
404539.21,3014.2,45.4,14.37,Good
364852.24,2715.7,50.6,2.85,Good
292182.27,2210.5,39.0,4.04,Average
368883.13,2142.1,9.8,3.47,Good
204146.67,1016.5,44.0,7.45,Good
203155.28,1724.8,47.4,12.45,Good
277164.14,1998.2,75.5,14.23,Good
230205.56,1343.9,59.2,12.02,Average
177407.58,1119.8,19.2,5.51,Poor
237566.13,1761.2,21.4,6.84,Poor
110744.53,1221.1,68.5,8.9,Average
338339.05,2110.6,28.9,11.78,Excellent
186544.48,1237.5,49.4,11.37,Good
274046.76,2357.0,58.6,1.22,Excellent
249543.73,1772.1,4.8,13.05,Poor
229886.98,1657.7,31.9,6.9,Excellent
309034.53,2039.6,56.7,1.37,Excellent
273680.61,1900.1,76.6,4.77,Average
304312.12,2320.8,10.2,13.56,Good
309212.03,2061.8,5.9,14.56,Average
310226.18,2082.5,79.1,11.62,Good
215853.63,1859.8,64.4,13.83,Poor
206058.88,1741.1,62.6,6.87,Poor
421211.83,2397.3,0.4,9.0,Poor
216944.1,1931.1,70.4,3.14,Excellent
69323.76,821.4,77.0,10.47,Average
289877.0,2011.2,22.4,5.9,Poor
249796.03,1977.4,56.9,11.24,Poor
392118.33,2699.8,62.4,10.68,Poor
436280.69,3104.7,19.9,12.42,Good
497872.09,3691.5,69.4,4.35,Excellent
153083.03,1850.7,76.4,5.72,Average
454489.44,2653.6,17.1,3.54,Excellent
296503.66,2642.4,62.0,11.05,Good
152422.31,1111.5,58.8,1.36,Poor
149551.96,996.8,79.9,2.39,Good
183006.29,939.8,4.4,3.62,Poor
258502.32,2237.6,29.1,9.22,Good
236776.25,1793.0,53.9,10.26,Average
368200.92,2969.0,55.6,8.83,Good
329592.91,1945.6,8.9,8.4,Excellent
437654.93,3033.3,67.1,7.31,Excellent
380782.85,2573.4,63.3,5.06,Poor
492423.33,3488.0,20.2,8.7,Poor
232488.97,819.6,20.5,8.99,Good
349608.37,2767.1,77.2,4.22,Good
253952.93,1969.6,11.7,11.0,Excellent
396822.96,2410.1,54.6,5.63,Excellent
429625.53,2567.3,40.0,0.61,Poor
329705.13,1801.9,22.7,1.22,Poor
207921.41,1559.1,32.3,2.85,Good
446045.15,3109.3,79.1,5.03,Excellent
343316.74,2485.6,33.3,11.13,Good
430357.76,2872.3,32.9,4.0,Poor
382880.67,3091.5,41.8,8.03,Good
547268.42,3841.9,43.4,0.39,Excellent
342317.84,2427.4,33.1,5.98,Excellent
227069.2,1753.9,54.3,8.61,Excellent
408342.23,2354.7,24.9,7.0,Average
336079.26,2925.1,48.4,8.42,Poor
228858.88,1932.2,1.5,7.57,Excellent
282627.01,1764.3,41.8,6.58,Good
212303.43,982.2,8.6,12.0,Good
347051.73,2338.7,38.5,2.55,Good
314958.71,2162.6,29.0,9.8,Good
252059.52,1975.4,74.0,14.03,Average
448419.24,2637.8,54.8,5.32,Poor
323501.12,2253.9,69.3,13.18,Excellent
312270.1,2545.7,76.4,9.97,Excellent
487403.73,3977.4,65.5,10.52,Poor
445134.1,2910.7,18.9,8.68,Poor
302337.94,2310.9,43.0,11.35,Average
302104.08,2270.1,55.7,10.28,Good
277432.34,1939.9,46.0,3.82,Excellent
411832.8,2305.8,6.7,4.48,Good
235175.04,1624.3,56.4,6.15,Excellent
257949.45,2262.7,33.0,14.52,Good
270819.66,1161.1,3.7,12.91,Average
361965.08,2841.8,38.6,6.09,Poor
485637.53,3307.2,26.5,2.39,Good
325187.41,1821.3,32.8,4.43,Average
233303.7,1564.9,19.2,13.72,Poor
221928.4,1526.7,49.7,14.39,Good
409442.37,2559.8,66.4,9.96,Excellent
294799.25,2575.2,51.3,5.52,Excellent
422704.91,2789.2,14.7,2.32,Excellent
264334.71,936.0,0.4,4.98,Good
475298.8,3057.8,5.8,3.28,Excellent
284187.27,2069.2,56.0,12.61,Good
359363.53,2851.3,41.0,14.87,Poor
411823.31,3359.4,62.5,5.16,Good
280107.07,1979.3,23.9,10.45,Good
347108.43,2528.6,73.6,12.54,Poor
310062.48,1970.0,40.5,0.42,Excellent
281959.66,2030.2,55.7,6.78,Average
410499.46,3149.1,64.0,12.65,Excellent
299567.22,2066.5,53.3,8.07,Poor
381009.05,2760.6,40.5,0.22,Excellent
412901.21,2614.9,13.8,14.65,Poor
443521.97,3046.8,35.7,13.0,Good
437452.9,3467.5,44.5,9.47,Good
347582.8,2624.1,67.9,5.97,Excellent
371379.16,2838.5,25.9,10.96,Excellent
431688.71,3274.8,68.5,4.42,Poor
407361.13,2555.7,55.9,9.4,Excellent
165355.78,1585.2,74.0,11.15,Average
447647.51,3183.9,15.2,9.13,Good
291265.73,2365.1,42.9,0.25,Good
450302.25,3192.7,3.5,0.24,Excellent
106955.66,492.5,74.7,4.85,Good
410259.04,3148.7,53.2,11.27,Average
406547.78,2614.9,33.6,10.28,Good
310913.01,2247.9,15.5,13.96,Good
376861.81,2826.1,21.2,10.94,Average
436255.42,2961.1,40.1,12.44,Average
376813.51,2731.5,27.7,14.74,Average
367492.47,2755.4,46.5,5.84,Average
196711.47,1689.8,64.7,10.43,Average
